Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Mayank Markande,MI,Bowler ,0.65,"24 Years, 4 Months, 4 Days",India,Right Handed,Leg break,18,5,27,0,0,3,0,93.1,3,0,53,0,16,8.54,19.87
Sanjay Yadav,MI,All-Rounder ,0.5,"26 Years, 10 Months, 6 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
Basil Thampi,MI,Bowler ,0.3,"28 Years, 6 Months, 4 Days",India,Right Handed,Right-arm fast medium,20,7,32,0,0,1,1,91.42,4,0,70.5,0,17,9.79,25
Arjun Tendulkar,MI,All-Rounder ,0.3,"22 Years, 5 Months, 22 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,
Ramandeep Singh,MI,All-Rounder ,0.2,"24 Years, 11 Months, 2 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Anmolpreet Singh,MI,Batsman ,0.2,"23 Years, 11 Months, 18 Days",India,Right Handed,Off break,1,0,16,0,0,2,1,114.28,,,,,,,
Aryan Juyal,MI,Wicket-Keeper ,0.2,"20 Years, 4 Months, 4 Days",India,Right Handed,,,,,,,,,,,,,,,,
Arshad Khan,MI,All-Rounder ,0.2,"24 Years, 2 Months, 26 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,
Rahul Buddhi,MI,Batsman ,0.2,"24 Years, 5 Months, 25 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,
Hrithik Shokeen,MI,All-Rounder ,0.2,"21 Years, 7 Months, 1 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Ravindra Jadeja,CSK,All-Rounder ,16,"33 Years, 3 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,200,63,2386,0,2,176,85,128.14,81,0,501.1,2,127,7.61,23.67
Deepak Chahar,CSK,Bowler ,14,"29 Years, 7 Months, 8 Days",India,Right Handed,Right-arm medium,63,5,79,0,0,2,6,138.59,12,0,220.4,6,59,7.8,22.44
MS Dhoni,CSK,Wicket-Keeper ,12,"40 Years, 8 Months, 8 Days",India,Right Handed,Right-arm medium,220,73,4746,0,23,325,219,135.83,126,39,,,,,
Moeen Ali,CSK,All-Rounder ,8,"34 Years, 8 Months, 28 Days",England,Left Handed,Off break,34,3,666,0,4,52,42,146.37,11,0,68.3,0,16,6.84,25.68
Ambati Rayudu,CSK,Wicket-Keeper ,6.75,"36 Years, 5 Months, 22 Days",India,Right Handed,Off break,175,31,3916,1,21,324,149,127.47,58,2,,,,,
Ruturaj Gaikwad,CSK,Batsman ,6,"25 Years, 1 Months, 12 Days",India,Right Handed,Off break,22,4,839,1,7,80,29,132.12,10,0,,,,,
Dwayne Bravo,CSK,All-Rounder ,4.4,"38 Years, 5 Months, 9 Days",West Indies,Right Handed,Right-arm medium,151,40,1537,0,5,119,65,130.25,77,0,485.3,2,167,8.36,17.44
Shivam Dube,CSK,All-Rounder ,4,"28 Years, 8 Months, 19 Days",India,Left Handed,Right-arm medium,24,4,399,0,1,24,22,120.54,5,0,15.4,0,4,8.29,23.5
Chris Jordan,CSK,All-Rounder ,3.6,"33 Years, 5 Months, 11 Days",England,Right Handed,Right-arm fast medium,24,2,64,0,0,3,3,112.28,9,0,76.3,0,25,9.12,18.36
Robin Uthappa,CSK,Batsman ,2,"36 Years, 4 Months, 4 Days",India,Right Handed,Right-arm medium,193,17,4722,0,25,462,168,130.15,87,32,,,,,
Mitchell Santner,CSK,All-Rounder ,1.9,"30 Years, 1 Months, 8 Days",New Zealand,Left Handed,Slow left-arm orthodox,6,1,32,0,0,0,3,139.13,2,0,21,0,6,7,21
Adam Milne,CSK,Bowler ,1.9,"29 Years, 11 Months, 2 Days",New Zealand,Right Handed,Right-arm fast,9,2,23,0,0,0,1,79.31,7,0,32,0,7,9.62,27.42
Rajvardhan Hangargekar,CSK,All-Rounder ,1.5,"19 Years, 4 Months, 5 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Prashant Solanki,CSK,Bowler ,1.2,"22 Years, 0 Months, 22 Days",India,Right Handed,Leg break,,,,,,,,,,,,,,,
Devon Conway,CSK,Batsman ,1,"30 Years, 8 Months, 8 Days",South Africa,Left Handed,Right-arm medium,,,,,,,,,,,,,,,
Maheesh Theekshana,CSK,Bowler ,0.7,"21 Years, 7 Months, 14 Days",Sri Lanka,Right Handed,Off break,,,,,,,,,,,,,,,
Dwaine Pretorius,CSK,All-Rounder ,0.5,,,,,,,,,,,,,,,,,,,
Narayan Jagadeesan,CSK,Wicket-Keeper ,0.2,"26 Years, 2 Months, 23 Days",India,Right Handed,,5,0,33,0,0,4,0,113.79,,,,,,,
KM Asif,CSK,Bowler ,0.2,"28 Years, 7 Months, 22 Days",India,Right Handed,Right-arm medium,3,0,,0,0,0,0,0,,,8.1,0,4,11.38,12.25
Tushar Deshpande,CSK,Bowler ,0.2,"26 Years, 10 Months, 1 Days",India,Left Handed,Right-arm medium,5,1,21,0,0,2,1,175,1,0,17,0,3,11.29,34
Subhranshu Senapati,CSK,Batsman ,0.2,"25 Years, 2 Months, 16 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Bhagath Varma,CSK,All-Rounder ,0.2,"23 Years, 5 Months, 24 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Simarjeet Singh,CSK,Bowler ,0.2,"24 Years, 1 Months, 26 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,
Hari Nishaanth,CSK,Batsman ,0.2,"25 Years, 7 Months, -1 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,
Mukesh Choudhary,CSK,Bowler ,0.2,"25 Years, 8 Months, 9 Days",India,Left Handed,Left-arm fast medium,,,,,,,,,,,,,,,
Shreyas Iyer,KKR,Batsman ,12.25,"27 Years, 3 Months, 9 Days",India,Right Handed,Leg break googly,87,12,2375,0,16,196,88,123.95,34,0,,,,,
